id,canonical_food_id,cultivar_name,synonyms,structured_seasons,nutrition_override,notes,created_at,updated_at
86,1401,Feuille de Chêne Blonde,,,,"Feuilles découpées vert tendre, texture tendre",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
87,1401,Feuille de Chêne Rouge,,,,"Feuilles lobées rouge-brun, saveur légèrement amère",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
88,1401,Reine des Glaces,,,,"Feuilles croquantes et dentelées, excellente en été",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
89,1401,Romaine Verte,"[""Romaine""]",,,"Laitue allongée, feuilles croquantes, résistante à la montée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
90,1201,Gariguette,,"{""available"":[4,5,6]}",,"Variété française précoce, allongée, très parfumée et acidulée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
91,1201,Mara des Bois,,"{""available"":[5,6,7,8,9]}",,"Remontante, goût de fraise des bois, production longue",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
92,1201,Charlotte,,"{""available"":[5,6,7,8,9,10]}",,"Remontante, fruits allongés et fermes, excellente conservation",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
93,1201,Ciflorette,,"{""available"":[3,4,5]}",,"Très précoce, allongée, chair tendre et sucrée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
94,1201,Darselect,,"{""available"":[5,6]}",,"Gros fruits rouge brillant, chair ferme, bonne conservation",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
95,1207,Chasselas,"[""Chasselas de Fontainebleau"",""Fendant""]","{""available"":[8,9,10]}",,"Raisin blanc de table suisse, grains dorés, chair fondante",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
96,1207,Muscat de Hambourg,"[""Black Muscat""]","{""available"":[8,9]}",,"Raisin noir très parfumé, gros grains, saveur muscatée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
97,1207,Italia,,"{""available"":[9,10,11]}",,"Gros grains jaune-vert, croquants, légèrement musqués",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
98,1207,Red Globe,,"{""available"":[9,10,11,12]}",,"Très gros grains rouges, chair croquante, excellente conservation",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
99,1207,Cardinal,,"{""available"":[8,9]}",,"Gros grains rouge pourpre, chair croquante, légèrement parfumé",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
100,1207,Alphonse Lavallée,,"{""available"":[9,10]}",,"Raisin noir de table, gros grains, chair ferme et juteuse",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
101,1207,Danlas,,"{""available"":[8,9,10]}",,"Raisin blanc sans pépins, grains ovales, saveur douce et sucrée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
102,1001,Elstar,,"{""available"":[9,10,11,12,1,2]}",,"Pomme hollandaise rouge-orange, juteuse et sucrée, bonne à croquer et cuire",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
103,1001,Jonagold,,"{""available"":[10,11,12,1,2,3]}",,"Grosse pomme jaune-rouge, croisement Golden x Jonathan, très juteuse",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
104,1001,Honeycrisp,,"{""available"":[9,10,11,12,1,2,3]}",,"Pomme américaine très croquante, jutosité exceptionnelle, bien sucrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
105,1001,Jazz,"[""Scifresh""]","{""available"":[10,11,12,1,2,3,4]}",,"Pomme néo-zélandaise croquante, aromatique, marque commerciale",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
106,1001,Kanzi,,"{""available"":[11,12,1,2,3,4]}",,"Pomme belge rouge foncé, croquante et sucrée, excellente conservation",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
107,1001,Chantecler,,"{""available"":[10,11,12,1,2]}",,"Pomme française jaune-rouge, résistante aux maladies, polyvalente",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
108,1001,Belle de Boskoop,"[""Boskoop""]","{""available"":[10,11,12,1,2,3]}",,"Grosse pomme verte-rouge, acidulée, excellente à cuire et en compote",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
109,1001,Reine des Reinettes,,"{""available"":[8,9,10]}",,"Pomme ancienne française striée, aromatique, saveur fine et équilibrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
110,1001,Calville Blanc,"[""Calville Blanc d'Hiver""]","{""available"":[11,12,1,2,3]}",,"Pomme ancienne côtelée, chair blanche parfumée, riche en vitamine C",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
111,1001,Topaz,,"{""available"":[10,11,12,1,2,3]}",,"Pomme tchèque rouge-orange, résistante tavelure, croquante et acidulée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
112,1002,Williams,"[""Williams Bon Chrétien"",""Bartlett""]","{""available"":[8,9,10]}",,"Poire juteuse et sucrée, jaune à maturité, excellente à croquer et en conserve",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
113,1002,Conférence,,"{""available"":[9,10,11,12,1,2]}",,"Poire allongée vert-brun, chair fondante et sucrée, très productive",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
114,1002,Comice,"[""Doyenné du Comice""]","{""available"":[10,11,12,1]}",,"Grosse poire ronde, chair fine et fondante, une des plus savoureuses",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
115,1002,Passe-Crassane,,"{""available"":[11,12,1,2,3,4]}",,"Grosse poire d'hiver, granuleuse, excellente conservation, saveur douce",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
116,1002,Abate Fetel,"[""Abbé Fétel""]","{""available"":[9,10,11,12]}",,"Poire italienne allongée, chair blanche juteuse et très parfumée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
117,1002,Louise Bonne,"[""Louise Bonne d'Avranches""]","{""available"":[9,10]}",,"Poire française ancienne, rouge-vert, chair fondante et sucrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
118,1002,Guyot,,"{""available"":[7,8,9]}",,"Poire d'été précoce, jaune-vert, juteuse et légèrement acidulée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
119,1002,Kaiser,"[""Beurré Bosc"",""Kaiser Alexandre""]","{""available"":[10,11,12,1,2]}",,"Poire bronze allongée, chair ferme et croquante, arôme de cannelle",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
120,1004,Burlat,,"{""available"":[5,6]}",,"Cerise précoce rouge foncé, grosse et juteuse, très productive",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
121,1004,Summit,,"{""available"":[6,7]}",,"Grosse cerise rouge sombre, chair ferme et croquante, excellente qualité",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
122,1004,Reverchon,,"{""available"":[6]}",,"Cerise rouge vif de mi-saison, chair ferme, bonne résistance à la pluie",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
123,1004,Cœur de Pigeon,,"{""available"":[6,7]}",,"Cerise bigarreau blanc-rosé, chair ferme et sucrée, variété ancienne",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
124,1004,Montmorency,,"{""available"":[6,7]}",,"Cerise aigre rouge clair, idéale pour confitures et clafoutis",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
125,1004,Napoléon,"[""Napoléon Bigarreau""]","{""available"":[6,7]}",,"Cerise jaune-rouge, chair ferme et croquante, excellente à croquer",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
126,1004,Van,,"{""available"":[6,7]}",,"Cerise rouge foncé brillant, chair ferme, bonne résistance à l'éclatement",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
127,1004,Hedelfingen,,"{""available"":[7]}",,"Cerise tardive noire, grosse, chair ferme et sucrée, bonne conservation",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
128,1005,Reine des Vergers,,"{""available"":[8,9]}",,"Pêche blanche tardive, chair fine et fondante, très parfumée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
129,1005,Sanguine,"[""Sanguine de Savoie""]","{""available"":[8,9]}",,"Pêche à chair rouge sang, saveur unique, excellente en conserve",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
130,1005,Saturne,"[""Pêche Plate""]","{""available"":[7,8]}",,"Pêche plate douce, chair blanche, peu acide, forme caractéristique",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
131,1005,Blanche de Juillet,,"{""available"":[7]}",,"Pêche blanche précoce, fondante et juteuse, parfumée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
132,1005,Redtop,,"{""available"":[7,8]}",,"Pêche jaune à chair jaune, ferme et croquante, bonne à croquer",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
133,1005,Spring Lady,,"{""available"":[6,7]}",,"Pêche jaune très précoce, chair ferme et sucrée, bonne productivité",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
134,1005,Dixired,,"{""available"":[6,7]}",,"Pêche américaine précoce, chair jaune ferme, résistante au transport",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
135,1005,Spring Belle,,"{""available"":[6,7]}",,"Pêche blanche précoce, chair semi-ferme, saveur douce et sucrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
136,1006,Bergeron,,"{""available"":[7,8]}",,"Abricot de la Drôme, gros et ferme, excellent frais et en conserve",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
137,1006,Orangered,,"{""available"":[6,7]}",,"Abricot orange vif précoce, très coloré, chair ferme et sucrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
138,1006,Luizet,,"{""available"":[7]}",,"Abricot de mi-saison, gros et parfumé, chair ferme orangée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
139,1006,Orangé de Provence,,"{""available"":[7]}",,"Abricot du Sud, orange foncé, chair fondante et très parfumée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
140,1006,Rouge du Roussillon,,"{""available"":[6,7]}",,"Abricot rouge orangé, chair ferme et sucrée, origine catalane",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
141,1006,Polonais,,"{""available"":[7,8]}",,"Gros abricot tardif, orange vif, chair ferme, excellente conservation",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
142,1006,Précoce de Saumur,,"{""available"":[6]}",,"Abricot très précoce, moyen, chair tendre et parfumée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
143,1006,Pêche de Nancy,,"{""available"":[7]}",,"Abricot de Lorraine, gros, rose-orangé, chair fine et fondante",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
144,1003,Reine Claude,"[""Reine Claude Dorée"",""Greengage""]","{""available"":[8,9]}",,"Prune verte-dorée, chair fondante et très sucrée, reine des prunes",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
145,1003,Mirabelle de Lorraine,"[""Mirabelle de Nancy""]","{""available"":[8]}",,"Petite prune jaune dorée, très sucrée et parfumée, IGP Lorraine",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
146,1003,Quetsche d'Alsace,"[""Quetsche""]","{""available"":[8,9]}",,"Prune violette allongée, chair ferme et acidulée, parfaite en tarte",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
147,1003,Golden Japan,,"{""available"":[7,8]}",,"Prune japonaise jaune-rouge, grosse, chair juteuse et sucrée",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
148,1003,Victoria,,"{""available"":[8,9]}",,"Prune anglaise rouge-rose, polyvalente, bonne fraîche et cuite",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
149,1003,Président,,"{""available"":[9,10]}",,"Grosse prune bleue tardive, chair ferme, excellente à sécher",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
150,1003,Stanley,,"{""available"":[8,9]}",,"Prune bleue violacée, chair ferme et sucrée, idéale pour pruneaux",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
151,1003,Agen,"[""Prune d'Agen""]","{""available"":[8,9]}",,"Prune violette du Sud-Ouest, séchée pour faire les pruneaux d'Agen",2025-10-03 14:04:10.592433+00,2025-10-03 14:04:10.592433+00
152,1551,Brandywine,"[""Brandywine Pink""]","{""available"":[7,8,9]}",,"Tomate américaine rose, très grosse, chair fondante et sucrée, saveur exceptionnelle",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
153,1551,Cherokee Purple,,"{""available"":[7,8,9]}",,"Tomate pourpre-brun, chair dense et juteuse, saveur riche et fumée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
154,1551,Black Prince,"[""Prince Noir""]","{""available"":[7,8,9]}",,"Tomate russe rouge-brun foncé, chair dense, saveur complexe et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
155,1551,Yellow Pear,"[""Poire Jaune""]","{""available"":[7,8,9,10]}",,"Petite tomate jaune en forme de poire, sucrée et productive",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
156,1551,Orange Sungold,"[""Sungold""]","{""available"":[7,8,9,10]}",,"Tomate cerise orange, très sucrée et fruitée, production abondante",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
157,1551,Evergreen,,"{""available"":[8,9]}",,"Tomate verte à maturité, chair émeraude, saveur douce et fruitée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
158,1551,Chocolate Stripes,,"{""available"":[7,8,9]}",,"Tomate rayée brun-vert, grosse, chair dense et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
159,1551,Red Zebra,,"{""available"":[7,8,9]}",,"Tomate rayée rouge-orange, chair ferme, saveur acidulée et fruitée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
160,1551,White Beauty,"[""Beauté Blanche""]","{""available"":[7,8,9]}",,"Tomate blanc-crème, chair douce et peu acide, rare",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
161,1551,Striped German,,"{""available"":[8,9]}",,"Grosse tomate bicolore rouge-jaune, chair marbrée, très savoureuse",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
162,1551,Rose de Berne,,"{""available"":[7,8,9]}",,"Tomate suisse rose, taille moyenne, chair fondante et parfumée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
163,1551,Paul Robeson,,"{""available"":[7,8,9]}",,"Tomate russe brun-rouge, chair dense, saveur fumée et complexe",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
164,1551,Aunt Ruby's German Green,"[""Tante Ruby""]","{""available"":[8,9]}",,"Grosse tomate verte à maturité, chair vert-rose, très sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
165,1551,Black Russian,"[""Russe Noire""]","{""available"":[7,8,9]}",,"Tomate pourpre foncé, chair rouge dense, saveur riche",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
166,1551,Sun Gold,,"{""available"":[7,8,9,10]}",,"Tomate cerise dorée, exceptionnellement sucrée, très productive",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
167,1551,Mortgage Lifter,,"{""available"":[8,9]}",,"Énorme tomate rose américaine, chair dense et sucrée, faible acidité",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
168,1551,Black Cherry,"[""Cerise Noire""]","{""available"":[7,8,9,10]}",,"Tomate cerise pourpre-noir, très sucrée, saveur complexe",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
169,1551,Yellow Brandywine,,"{""available"":[8,9]}",,"Variante jaune de Brandywine, chair fondante, saveur douce et fruitée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
170,1551,Jaune Flamme,,"{""available"":[7,8,9]}",,"Tomate orange française, chair dense, saveur fruitée et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
171,1551,Pruden's Purple,,"{""available"":[7,8,9]}",,"Grosse tomate rose-pourpre, chair fondante, faible acidité",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
172,1551,Striped Cavern,,"{""available"":[8,9]}",,"Tomate creuse rayée, idéale à farcir, forme originale",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
173,1551,Green Giant,,"{""available"":[8,9]}",,"Très grosse tomate verte à maturité, chair sucrée et juteuse",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
174,1551,Hillbilly,,"{""available"":[8,9]}",,"Grosse tomate bicolore orange-rouge marbrée, chair fondante et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
175,1551,Black Krim,"[""Noire de Crimée""]","{""available"":[7,8,9]}",,"Tomate russe brun-pourpre, chair dense, saveur salée et complexe",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
176,1551,Persimmon,,"{""available"":[8,9]}",,"Grosse tomate orange comme un kaki, chair douce et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
177,1551,Supersteak,"[""Super Steak""]","{""available"":[7,8,9]}",,"Très grosse tomate rouge, chair ferme, excellente productivité",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
178,1551,Fandango,,"{""available"":[7,8,9]}",,"Tomate rouge résistante aux maladies, chair ferme, bonne conservation",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
179,1551,Paola,,"{""available"":[7,8,9,10]}",,"Tomate cerise allongée rouge, très productive, résistante",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
180,1551,Pyros,,"{""available"":[7,8,9]}",,"Tomate cocktail rouge brillant, sucrée, résistante au mildiou",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
181,1551,Corazon,,"{""available"":[7,8,9]}",,"Tomate cœur de bœuf hybride, grosse, chair ferme et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
182,1551,Sakura,,"{""available"":[7,8,9,10]}",,"Tomate cerise rouge en grappe, très sucrée, production longue",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
183,1551,Honey Moon,,"{""available"":[7,8,9]}",,"Tomate cocktail orange, très sucrée, excellente à l'apéritif",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
184,1551,Piccolo,,"{""available"":[7,8,9,10]}",,"Tomate cerise rouge, très sucrée, grappes abondantes",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
185,1551,Santa,,"{""available"":[6,7,8,9]}",,"Tomate allongée rouge, chair ferme, idéale en sauce",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
186,1551,Maestria,,"{""available"":[7,8,9]}",,"Grosse tomate rouge, résistante aux maladies, productive",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
187,1551,Big Beef,,"{""available"":[7,8,9]}",,"Très grosse tomate rouge américaine, chair ferme, saveur classique",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
188,1551,Celebrity,,"{""available"":[7,8,9]}",,"Tomate rouge polyvalente, résistante, production abondante",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
189,1551,Early Girl,,"{""available"":[6,7,8,9]}",,"Tomate précoce rouge, production rapide, saveur équilibrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
190,1551,Better Boy,,"{""available"":[7,8,9]}",,"Grosse tomate rouge américaine, résistante, très productive",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
191,1551,Rutgers,,"{""available"":[7,8,9]}",,"Tomate classique américaine, rouge, chair ferme, idéale en sauce",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
192,1551,Matina,,"{""available"":[6,7,8,9]}",,"Tomate précoce allemande, rouge, résistante au froid",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
193,1551,Marmande,"[""Super Marmande""]","{""available"":[7,8,9]}",,"Tomate française côtelée, grosse, chair ferme et savoureuse",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
194,1551,Maestro,,"{""available"":[7,8,9]}",,"Tomate ronde rouge, calibre régulier, bonne tenue",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
195,1551,Crimson Crush,,"{""available"":[7,8,9]}",,"Tomate rouge résistante au mildiou, chair juteuse et sucrée",2025-10-03 14:05:46.466433+00,2025-10-03 14:05:46.466433+00
