id,name,role
206,Saumon en papillote, julienne de légumes,PLAT_PRINCIPAL
207,Saumon teriyaki,PLAT_PRINCIPAL
208,Saumon à la plancha, sauce vierge,PLAT_PRINCIPAL
209,Lasagnes au saumon et épinards,PLAT_PRINCIPAL
211,Gravlax de saumon maison,PLAT_PRINCIPAL
215,Cabillaud à la bordelaise,PLAT_PRINCIPAL
217,Fish and chips britannique,PLAT_PRINCIPAL
218,Waterzooi de poisson,PLAT_PRINCIPAL
220,Thon mi-cuit au sésame,PLAT_PRINCIPAL
221,Steak de thon à la sicilienne (olives, câpres),PLAT_PRINCIPAL
223,Dorade royale au four et fenouil,PLAT_PRINCIPAL
224,Filet de sole meunière,PLAT_PRINCIPAL
225,Raie au beurre noir et aux câpres,PLAT_PRINCIPAL
226,Maquereaux marinés au vin blanc,PLAT_PRINCIPAL
227,Sardines grillées au barbecue,PLAT_PRINCIPAL
229,Noix de Saint-Jacques snackées, purée de carottes au cumin,ACCOMPAGNEMENT
231,Crevettes sautées à l'ail et au persil,PLAT_PRINCIPAL
233,Pâtes aux crevettes, ail, huile et piment,ACCOMPAGNEMENT
234,Crevettes à l'armoricaine,PLAT_PRINCIPAL
235,Wok de crevettes aux légumes croquants,PLAT_PRINCIPAL
236,Pad Thaï aux crevettes,PLAT_PRINCIPAL
238,Calamars à la romaine,PLAT_PRINCIPAL
239,Encornets farcis à la sétoise,PLAT_PRINCIPAL
240,Seiches à la plancha en persillade,PLAT_PRINCIPAL
241,Poulpe à la galicienne (Pulpo a la gallega),PLAT_PRINCIPAL
243,Dahl de lentilles indien,PLAT_PRINCIPAL
245,Bolognaise de lentilles vertes,PLAT_PRINCIPAL
247,Pois chiches rôtis aux épices,PLAT_PRINCIPAL
249,Chili sin carne,PLAT_PRINCIPAL
250,Haricots blancs à la bretonne,PLAT_PRINCIPAL
251,Fèves à la catalane,PLAT_PRINCIPAL
252,Socca niçoise (galette de farine de pois chiches),PLAT_PRINCIPAL
253,Panisses marseillaises,PLAT_PRINCIPAL
254,Lasagnes végétariennes aux légumes du soleil,PLAT_PRINCIPAL
255,Lasagnes aux épinards et à la ricotta,PLAT_PRINCIPAL
256,Risotto aux champignons,PLAT_PRINCIPAL
261,Pâtes à la sauce tomate et basilic frais (al pomodoro),ACCOMPAGNEMENT
262,Pâtes all'arrabbiata,ACCOMPAGNEMENT
263,Pâtes alla puttanesca,ACCOMPAGNEMENT
264,Pâtes à la carbonara (la vraie, sans crème),DESSERT
265,Pâtes cacio e pepe,ACCOMPAGNEMENT
266,Pâtes à l'amatriciana,ACCOMPAGNEMENT
267,Pâtes au pesto alla genovese,ACCOMPAGNEMENT
268,Pâtes aux palourdes (alle vongole),ACCOMPAGNEMENT
269,Pâtes aux fruits de mer (allo scoglio),ACCOMPAGNEMENT
270,Pâtes alla norma (aubergines, ricotta salata),ACCOMPAGNEMENT
271,Gnocchis de pommes de terre, sauce sauge et beurre,PLAT_PRINCIPAL
272,Gnocchis à la sorrentina (sauce tomate, mozzarella),PLAT_PRINCIPAL
273,Raviolis aux épinards et ricotta, sauce tomate,PLAT_PRINCIPAL
274,Cannellonis farcis à la bolognaise,PLAT_PRINCIPAL
276,Macaroni and cheese américain (gratin de macaronis),ACCOMPAGNEMENT
278,One pot pasta tomate, basilic, mozzarella,PLAT_PRINCIPAL
279,Pâtes au citron et à la crème,DESSERT
281,Pâtes fraîches maison,ACCOMPAGNEMENT
282,Tofu sauté aux légumes et sauce soja,PLAT_PRINCIPAL
283,Tofu mariné et grillé au sésame,PLAT_PRINCIPAL
284,Tofu général Tao,PLAT_PRINCIPAL
285,Tofu Mapo (recette sichuanaise),PLAT_PRINCIPAL
287,Tofu brouillé (alternative aux œufs),PLAT_PRINCIPAL
288,Tofu Katsu (pané et frit),PLAT_PRINCIPAL
289,Seitan bourguignon,PLAT_PRINCIPAL
290,Sauté de seitan et brocolis,PLAT_PRINCIPAL
291,Burger de seitan,PLAT_PRINCIPAL
292,Tempeh laqué à l'indonésienne,PLAT_PRINCIPAL
293,Buddha bowl au quinoa, patates douces et avocat,PLAT_PRINCIPAL
295,Quinoa façon taboulé,PLAT_PRINCIPAL
296,Galettes de quinoa et carottes,PLAT_PRINCIPAL
303,Ratatouille niçoise,PLAT_PRINCIPAL
307,Wok de légumes sauce aigre-douce,PLAT_PRINCIPAL
308,Légumes rôtis au four (carottes, panais, patates douces),ACCOMPAGNEMENT
309,Frites de patates douces au paprika,ACCOMPAGNEMENT
314,Écrasé de pommes de terre à l'huile d'olive et ail,PLAT_PRINCIPAL
315,Pommes de terre suédoises (Hasselback),PLAT_PRINCIPAL
316,Pommes dauphine maison,PLAT_PRINCIPAL
317,Aligot de l'Aubrac,PLAT_PRINCIPAL
318,Truffade auvergnate,PLAT_PRINCIPAL
320,Frites de polenta au parmesan,ACCOMPAGNEMENT
321,Polenta crémeuse,PLAT_PRINCIPAL
322,Endives braisées au jambon,PLAT_PRINCIPAL
323,Asperges vertes rôties au parmesan,PLAT_PRINCIPAL
325,Épinards frais à la crème,DESSERT
326,Choux de Bruxelles rôtis au lard et sirop d'érable,PLAT_PRINCIPAL
327,Carottes glacées à l'orange,PLAT_PRINCIPAL
328,Betteraves rôties au miel et au thym,PLAT_PRINCIPAL
329,Fenouil braisé à l'anis,PLAT_PRINCIPAL
330,Riz pilaf aux amandes et raisins secs,ACCOMPAGNEMENT
331,Semoule aux légumes (accompagnement tajine),PLAT_PRINCIPAL
333,Palak Paneer (épinards au fromage indien),PLAT_PRINCIPAL
336,Baingan Bharta (caviar d'aubergine indien),PLAT_PRINCIPAL
337,Samosas aux légumes,PLAT_PRINCIPAL
338,Pakoras d'oignons (beignets indiens),PLAT_PRINCIPAL
339,Caponata sicilienne,PLAT_PRINCIPAL
340,Pâtes aux brocolis et anchois,ACCOMPAGNEMENT
342,Galettes de sarrasin aux champignons et crème,DESSERT
343,Crozets en gratin au beaufort (croziflette),ACCOMPAGNEMENT
344,Tarte au maroilles,DESSERT
345,Pissaladière niçoise,PLAT_PRINCIPAL
347,Gözleme turc aux épinards et feta,PLAT_PRINCIPAL
348,Börek aux épinards,PLAT_PRINCIPAL
349,Fattoush (salade libanaise au pain pita grillé),ENTREE
350,Koshari égyptien (riz, lentilles, pâtes, sauce tomate),ACCOMPAGNEMENT
351,Mjadra (riz aux lentilles et oignons frits),ACCOMPAGNEMENT
353,Coleslaw américain,PLAT_PRINCIPAL
367,Ajo Blanco (soupe froide d'amandes espagnole),ENTREE
368,Vichyssoise (soupe froide poireaux-pommes de terre),ENTREE
370,Okroshka (soupe froide russe au kvas),ENTREE
372,Burger de bœuf classique, cheddar et bacon,PLAT_PRINCIPAL
373,Burger de poulet croustillant,PLAT_PRINCIPAL
374,Burger végétarien aux haricots noirs,PLAT_PRINCIPAL
375,Hot-dog new-yorkais,PLAT_PRINCIPAL
379,Croque-Monsieur,PLAT_PRINCIPAL
380,Croque-Madame,PLAT_PRINCIPAL
381,Welsh rarebit,PLAT_PRINCIPAL
382,Kebab maison (pain pita, viande grillée, sauce blanche),PLAT_PRINCIPAL
383,Gyros grec au porc,PLAT_PRINCIPAL
384,Wrap au poulet César,PLAT_PRINCIPAL
385,Wrap au houmous, falafels et crudités,PLAT_PRINCIPAL
386,Bagel au saumon fumé et cream cheese,PLAT_PRINCIPAL
388,Arepas vénézuéliennes,PLAT_PRINCIPAL
389,Empanadas argentines à la viande,PLAT_PRINCIPAL
392,Ramen japonais au porc chashu,PLAT_PRINCIPAL
393,Udon sauté au bœuf,PLAT_PRINCIPAL
394,Soba froides et leur sauce tsuyu,PLAT_PRINCIPAL
395,Yaki Soba (nouilles sautées japonaises),PLAT_PRINCIPAL
396,Riz cantonais,ACCOMPAGNEMENT
397,Nasi Goreng indonésien,PLAT_PRINCIPAL
398,Riz sauté thaï à l'ananas et aux crevettes,ACCOMPAGNEMENT
399,Dan Dan noodles sichuanaises,PLAT_PRINCIPAL
400,Nouilles sautées au poulet et légumes,PLAT_PRINCIPAL
401,Japchae (nouilles de patate douce coréennes),PLAT_PRINCIPAL
403,Laksa de Singapour (soupe de nouilles épicée),ENTREE
405,Oyakodon (bol de riz au poulet et à l'œuf),PLAT_PRINCIPAL
406,Katsudon (bol de riz au porc pané),PLAT_PRINCIPAL
407,Onigiri japonais (boules de riz farcies),ACCOMPAGNEMENT
408,Congee de riz (porridge de riz salé),ACCOMPAGNEMENT
409,Riz gluant à la mangue thaïlandais,ACCOMPAGNEMENT
410,Kimchi Jjigae (ragoût de kimchi coréen),PLAT_PRINCIPAL
411,Tteokbokki (gâteaux de riz épicés coréens),DESSERT
412,Crème brûlée à la vanille,DESSERT
413,Mousse au chocolat noir,DESSERT
414,Île flottante et sa crème anglaise,DESSERT
415,Profiteroles au chocolat chaud,PLAT_PRINCIPAL
416,Tarte Tatin aux pommes,DESSERT
417,Tarte au citron meringuée,DESSERT
418,Tarte Bourdaloue (poires et amandes),DESSERT
419,Clafoutis aux cerises,PLAT_PRINCIPAL
420,Far breton aux pruneaux,PLAT_PRINCIPAL
421,Canelés de Bordeaux,PLAT_PRINCIPAL
422,Macarons parisiens (pistache, chocolat, framboise),PLAT_PRINCIPAL
423,Paris-Brest (pâte à choux, crème pralinée),DESSERT
424,Éclair au café ou au chocolat,PLAT_PRINCIPAL
425,Religieuse au chocolat,PLAT_PRINCIPAL
426,Saint-Honoré,PLAT_PRINCIPAL
427,Fraisier,PLAT_PRINCIPAL
428,Opéra,PLAT_PRINCIPAL
429,Mille-feuille,PLAT_PRINCIPAL
430,Soufflé au Grand Marnier,PLAT_PRINCIPAL
432,Tiramisu classique au café,DESSERT
433,Panna Cotta et son coulis de fruits rouges,PLAT_PRINCIPAL
434,Tiramisu aux fraises,DESSERT
435,Panna Cotta au caramel beurre salé,PLAT_PRINCIPAL
436,Zabaione au Marsala,PLAT_PRINCIPAL
437,Cannoli siciliens à la ricotta,PLAT_PRINCIPAL
438,Torta della nonna (tarte à la crème pâtissière et pignons),DESSERT
439,Torta caprese (gâteau au chocolat et amandes),DESSERT
440,Semifreddo au nougat,PLAT_PRINCIPAL
441,Gelato à la pistache maison,PLAT_PRINCIPAL
442,Affogato (glace vanille noyée dans un expresso),DESSERT
443,Panettone (version maison),PLAT_PRINCIPAL
444,Cantucci (croquants aux amandes),PLAT_PRINCIPAL
445,Bonet piémontais (flan au chocolat et amaretti),PLAT_PRINCIPAL
446,Pêches au vin,PLAT_PRINCIPAL
447,Sbrisolona (gâteau friable aux amandes),DESSERT
449,Salame al cioccolato (saucisson au chocolat),PLAT_PRINCIPAL
450,Sfogliatelle napolitaines,PLAT_PRINCIPAL
451,Pastiera napolitaine,PLAT_PRINCIPAL
452,Cheesecake new-yorkais,DESSERT
453,Brownie au chocolat et noix de pécan,DESSERT
454,Cookies aux pépites de chocolat,DESSERT
455,Apple pie américaine,PLAT_PRINCIPAL
456,Pumpkin pie (tarte à la citrouille),DESSERT
457,Pecan pie (tarte aux noix de pécan),DESSERT
458,Carrot cake et son glaçage au cream cheese,DESSERT
459,Red velvet cake,DESSERT
460,Muffins aux myrtilles,DESSERT
461,Cupcakes à la vanille et glaçage,DESSERT
462,Banana bread,PLAT_PRINCIPAL
463,Key lime pie (tarte au citron vert),DESSERT
464,Crumble aux pommes et à la cannelle,PLAT_PRINCIPAL
465,Sticky toffee pudding,DESSERT
466,Eton mess (meringue, fraises, crème),DESSERT
468,Trifle anglais,PLAT_PRINCIPAL
469,Banoffee pie,PLAT_PRINCIPAL
470,Bread and butter pudding,DESSERT
471,Shortbread écossais,PLAT_PRINCIPAL
472,Forêt-Noire allemande (Schwarzwälder Kirschtorte),PLAT_PRINCIPAL
473,Apfelstrudel autrichien,PLAT_PRINCIPAL
474,Sacher Torte viennoise,PLAT_PRINCIPAL
475,Linzer Torte,PLAT_PRINCIPAL
476,Churros espagnols et leur chocolat chaud,PLAT_PRINCIPAL
477,Crème catalane,DESSERT
478,Tarta de Santiago (gâteau aux amandes),DESSERT
479,Leche frita (lait frit),PLAT_PRINCIPAL
480,Pastel de nata portugais,PLAT_PRINCIPAL
481,Gâteau basque à la crème ou à la cerise,DESSERT
482,Loukoumades grecs (beignets au miel),PLAT_PRINCIPAL
483,Baklava,PLAT_PRINCIPAL
484,Halva,PLAT_PRINCIPAL
485,Basboussa (gâteau de semoule),DESSERT
486,Cornes de gazelle marocaines,PLAT_PRINCIPAL
487,Mochi japonais,PLAT_PRINCIPAL
488,Dorayaki (pancakes japonais fourrés),DESSERT
489,Gâteau de lune chinois,DESSERT
490,Alfajores argentins,PLAT_PRINCIPAL
491,Brigadeiros brésiliens,PLAT_PRINCIPAL
494,Fraises au sucre et jus de citron,PLAT_PRINCIPAL
496,Poires Belle-Hélène,PLAT_PRINCIPAL
497,Pêches Melba,PLAT_PRINCIPAL
498,Pommes au four, miel et cannelle,PLAT_PRINCIPAL
499,Bananes flambées au rhum,PLAT_PRINCIPAL
504,Crumble aux fruits rouges et flocons d'avoine,PLAT_PRINCIPAL
