id,name,description,prep_time_minutes,cook_time_minutes,servings,cooking_method,role,is_scalable_to_main,is_complete_meal,needs_side_dish
9474,Kefta,Boulettes d'agneau épicées grillées,25,15,4,grill,PLAT_PRINCIPAL,f,f,t
9475,Curry d'agneau,Agneau mijoté au curry et lait de coco,25,90,4,mijotage,PLAT_PRINCIPAL,f,f,t
9476,Côtelettes d'agneau grillées,"Côtelettes marinées, cuisson rosée",15,10,4,grill,PLAT_PRINCIPAL,f,f,t
9477,Irish stew,Ragoût irlandais à l'agneau et pommes de terre,20,120,6,mijotage,PLAT_PRINCIPAL,f,t,f
9478,Tajine agneau-pruneaux,Tajine sucré-salé aux amandes,25,90,4,mijotage,PLAT_PRINCIPAL,f,t,f
9479,Méchoui,Épaule d'agneau rôtie aux épices,20,240,8,four,PLAT_PRINCIPAL,f,f,t
9480,Carré d'agneau rôti,"Carré en croûte d'herbes, cuisson rosée",20,25,4,four,PLAT_PRINCIPAL,f,f,t
9481,Saumon teriyaki,Pavé de saumon glacé à la sauce teriyaki,15,15,4,poêle,PLAT_PRINCIPAL,f,f,t
9482,Dos de cabillaud rôti,"Cabillaud au four, croûte de chapelure aux herbes",15,20,4,four,PLAT_PRINCIPAL,f,f,t
9483,Brandade de morue,Purée de morue à l'huile d'olive et ail,30,30,4,casserole,PLAT_PRINCIPAL,f,f,t
9484,Fish and chips,Poisson pané en beignet et frites épaisses,25,20,4,friture,PLAT_PRINCIPAL,f,t,f
9485,Daurade en croûte de sel,Daurade entière cuite en croûte de sel,15,35,4,four,PLAT_PRINCIPAL,f,f,t
9486,Sole meunière,Sole poêlée au beurre noisette et citron,15,10,4,poêle,PLAT_PRINCIPAL,f,f,t
9487,Pavé de thon mi-cuit,"Thon snacké, cœur rosé, sésame",10,5,4,poêle,PLAT_PRINCIPAL,f,f,t
9488,Bouillabaisse,"Soupe de poissons marseillaise, rouille et croûtons",45,45,6,mijotage,PLAT_PRINCIPAL,f,t,f
9489,Lotte à l'armoricaine,Lotte en sauce tomate au cognac et estragon,25,30,4,poêle,PLAT_PRINCIPAL,f,f,t
9490,Curry de poisson,Poisson blanc mijoté au curry et lait de coco,20,25,4,mijotage,PLAT_PRINCIPAL,f,f,t
9491,Moules marinières,"Moules au vin blanc, échalotes et persil",20,15,4,casserole,PLAT_PRINCIPAL,f,f,t
9492,Paella,Riz espagnol aux fruits de mer et safran,40,45,6,poêle,PLAT_PRINCIPAL,f,t,f
9493,Risotto aux fruits de mer,"Risotto crémeux, crevettes, moules et calamars",25,30,4,casserole,PLAT_PRINCIPAL,f,t,f
9494,Linguine alle vongole,"Pâtes aux palourdes, ail et vin blanc",20,15,4,poêle,PLAT_PRINCIPAL,f,t,f
9495,Coquilles Saint-Jacques poêlées,"Saint-Jacques snackées, beurre noisette",15,5,4,poêle,PLAT_PRINCIPAL,f,f,t
9496,Calamars farcis,"Calamars garnis de farce aux herbes, braisés",30,45,4,four,PLAT_PRINCIPAL,f,f,t
9497,Poulpe grillé,"Poulpe attendri puis grillé, huile d'olive et citron",20,60,4,grill,PLAT_PRINCIPAL,f,f,t
9498,Gambas à l'ail,Crevettes sautées à l'ail et piment,10,10,4,poêle,PLAT_PRINCIPAL,f,f,t
9499,Pad thaï aux crevettes,Nouilles sautées aux crevettes et cacahuètes,25,15,4,wok,PLAT_PRINCIPAL,f,t,f
9500,Bisque de homard,Velouté onctueux aux carapaces de homard,30,60,4,mijotage,PLAT_PRINCIPAL,f,f,t
9501,Ratatouille,Légumes du soleil mijotés à la provençale,30,45,6,mijotage,PLAT_PRINCIPAL,f,f,t
9502,Gratin dauphinois,"Pommes de terre en couches, crème et ail",20,60,6,four,PLAT_PRINCIPAL,f,f,t
9503,Tian provençal,Légumes en tranches gratinés aux herbes,25,50,4,four,PLAT_PRINCIPAL,f,f,t
9504,Moussaka végétarienne,"Aubergines, tomates et béchamel gratinées",35,45,6,four,PLAT_PRINCIPAL,f,t,f
9505,Légumes rôtis au four,"Légumes de saison caramélisés, huile d'olive",20,40,4,four,PLAT_PRINCIPAL,f,f,t
9506,Shakshuka,Œufs pochés dans une sauce tomate épicée,15,25,4,poêle,PLAT_PRINCIPAL,f,t,f
9507,Imam bayildi,"Aubergines farcies à la turque, tomates et oignons",30,60,4,four,PLAT_PRINCIPAL,f,f,t
9508,Poivrons farcis végétariens,Poivrons garnis de riz et légumes,25,45,4,four,PLAT_PRINCIPAL,f,t,f
9509,Caponata,Ragoût sicilien d'aubergines aigre-doux,25,35,4,poêle,PLAT_PRINCIPAL,f,f,t
9510,Chakchouka aux légumes,"Poêlée de légumes épicés, œufs fondants",20,25,4,poêle,PLAT_PRINCIPAL,f,t,f
9511,Dhal de lentilles corail,"Lentilles épicées à l'indienne, lait de coco",15,30,4,casserole,PLAT_PRINCIPAL,f,t,f
9512,Houmous maison,Purée de pois chiches au tahini et citron,15,0,6,cru,PLAT_PRINCIPAL,f,f,t
9513,Falafels,Boulettes de pois chiches frites aux herbes,30,15,4,friture,PLAT_PRINCIPAL,f,f,t
9514,Curry de pois chiches,Pois chiches mijotés au curry et tomates,15,30,4,mijotage,PLAT_PRINCIPAL,f,t,f
9515,Chili sin carne,Chili végétarien aux haricots et protéines de soja,20,45,6,mijotage,PLAT_PRINCIPAL,f,t,f
9516,Cassoulet végétarien,"Haricots blancs gratinés, saucisses végétales",30,90,6,four,PLAT_PRINCIPAL,f,t,f
9517,Salade de lentilles du Puy,"Lentilles vertes, légumes croquants et vinaigrette",15,25,4,casserole,PLAT_PRINCIPAL,f,t,f
9518,Haricots blancs à la tomate,Haricots mijotés à la tomate et herbes,15,40,4,mijotage,PLAT_PRINCIPAL,f,f,t
9519,Cocido végétarien,Ragoût espagnol aux pois chiches et légumes,25,60,6,mijotage,PLAT_PRINCIPAL,f,t,f
9520,Buddha bowl,"Bol complet : céréales, légumineuses et légumes",25,20,4,mixte,PLAT_PRINCIPAL,f,t,f
9521,Risotto aux champignons,Riz crémeux aux champignons et parmesan,15,30,4,casserole,PLAT_PRINCIPAL,f,t,f
9522,Pasta e fagioli,Soupe italienne aux pâtes et haricots,20,35,4,casserole,PLAT_PRINCIPAL,f,t,f
9523,Gnocchi maison,"Gnocchi de pommes de terre, sauce au choix",45,15,4,casserole,PLAT_PRINCIPAL,f,f,t
9524,Polenta crémeuse,Semoule de maïs onctueuse au parmesan,10,30,4,casserole,PLAT_PRINCIPAL,f,f,t
9525,Riz cantonais végétarien,Riz sauté aux légumes et œufs,20,15,4,wok,PLAT_PRINCIPAL,f,t,f
9526,Taboulé libanais,"Boulgour, persil, menthe, tomates et citron",25,0,4,cru,PLAT_PRINCIPAL,f,t,f
9527,Riz pilaf,Riz parfumé aux oignons et épices douces,10,20,4,casserole,PLAT_PRINCIPAL,f,f,t
9528,Orzo aux légumes grillés,"Pâtes orzo, légumes rôtis et feta",20,25,4,four,PLAT_PRINCIPAL,f,t,f
9529,Spätzle au fromage,Pâtes alsaciennes gratinées au gruyère,25,20,4,four,PLAT_PRINCIPAL,f,f,t
9530,Couscous aux légumes,Semoule et légumes en bouillon parfumé,30,45,6,mijotage,PLAT_PRINCIPAL,f,t,f
9531,Purée maison,Pommes de terre écrasées au beurre et lait,15,25,4,casserole,ACCOMPAGNEMENT,f,f,f
9532,Riz pilaf classique,Riz nacré puis cuit au bouillon,10,18,4,casserole,ACCOMPAGNEMENT,f,f,f
9533,Pommes sarladaises,Pommes de terre sautées à la graisse de canard,20,40,4,poêle,ACCOMPAGNEMENT,f,f,f
9534,Gratin de pommes de terre,Pommes de terre en couches gratinées,20,50,6,four,ACCOMPAGNEMENT,f,f,f
9535,Frites maison,Frites croustillantes en double cuisson,30,15,4,friture,ACCOMPAGNEMENT,f,f,f
9536,Polenta grillée,Tranches de polenta dorées à la poêle,10,40,4,poêle,ACCOMPAGNEMENT,f,f,f
9537,Écrasé de pommes de terre,Pommes de terre écrasées rustiques à l'huile d'olive,15,20,4,casserole,ACCOMPAGNEMENT,f,f,f
9538,Riz basmati parfumé,Riz basmati cuit à la cardamome et cannelle,5,15,4,casserole,ACCOMPAGNEMENT,f,f,f
9539,Gnocchi à la romaine,Gnocchi de semoule gratinés au parmesan,20,25,4,four,ACCOMPAGNEMENT,f,f,f
9540,Pommes duchesse,Rosaces de purée dorées au four,30,20,4,four,ACCOMPAGNEMENT,f,f,f
9541,Haricots verts persillés,Haricots verts sautés au beurre et persil,10,15,4,poêle,ACCOMPAGNEMENT,f,f,f
9542,Carottes glacées,"Carottes cuites au beurre et sucre, brillantes",10,25,4,casserole,ACCOMPAGNEMENT,f,f,f
9543,Épinards à la crème,Épinards frais fondus à la crème,15,15,4,poêle,ACCOMPAGNEMENT,f,f,f
9544,Poêlée de champignons,Champignons sautés à l'ail et persil,10,15,4,poêle,ACCOMPAGNEMENT,f,f,f
9545,Petits pois à la française,Petits pois braisés avec laitue et oignons,15,25,4,casserole,ACCOMPAGNEMENT,f,f,f
9546,Fenouil braisé,"Fenouil confit au four, fondant et anisé",10,45,4,four,ACCOMPAGNEMENT,f,f,f
9547,Endives caramélisées,Endives braisées au beurre et sucre,10,40,4,poêle,ACCOMPAGNEMENT,f,f,f
9548,Courgettes sautées,Courgettes en rondelles dorées aux herbes,10,15,4,poêle,ACCOMPAGNEMENT,f,f,f
9549,Brocoli rôti,"Brocoli au four, croustillant et caramélisé",10,25,4,four,ACCOMPAGNEMENT,f,f,f
9550,Chou rouge braisé,Chou rouge mijoté aux pommes et vinaigre,15,60,4,mijotage,ACCOMPAGNEMENT,f,f,f
9551,Sauce béchamel,"Sauce blanche au lait, beurre et farine",5,10,4,casserole,SAUCE,f,f,f
9552,Sauce tomate maison,"Coulis de tomates fraîches, ail et basilic",15,30,6,mijotage,SAUCE,f,f,f
9553,Sauce bolognaise,Ragù italien à la viande et tomates,20,120,6,mijotage,SAUCE,f,f,f
9554,Pesto alla genovese,"Basilic, pignons, parmesan et huile d'olive",15,0,4,cru,SAUCE,f,f,f
9555,Aïoli,Mayonnaise provençale à l'ail,15,0,6,cru,SAUCE,f,f,f
9556,Sauce béarnaise,"Émulsion au beurre, estragon et échalotes",15,15,4,bain-marie,SAUCE,f,f,f
9557,Sauce hollandaise,"Émulsion au beurre et jaunes d'œufs, citron",10,10,4,bain-marie,SAUCE,f,f,f
9558,Sauce vierge,"Tomates concassées crues, huile d'olive et herbes",15,0,4,cru,SAUCE,f,f,f
9559,Chimichurri,"Sauce argentine au persil, ail et vinaigre",15,0,6,cru,SAUCE,f,f,f
9560,Sauce teriyaki,Sauce japonaise sucrée-salée au soja et mirin,5,10,4,casserole,SAUCE,f,f,f
9561,Fond de veau,Fond brun aux os de veau rôtis,30,480,8,mijotage,SAUCE,f,f,f
9562,Fond de volaille,Bouillon clair aux carcasses de poulet,20,180,8,mijotage,SAUCE,f,f,f
9563,Fumet de poisson,Bouillon léger aux arêtes et parures de poisson,15,30,6,mijotage,SAUCE,f,f,f
9564,Bouillon de légumes,Bouillon parfumé aux légumes et aromates,15,45,8,mijotage,SAUCE,f,f,f
9565,Dashi,Bouillon japonais au kombu et bonite séchée,10,15,4,casserole,SAUCE,f,f,f
9566,Court-bouillon,Bouillon aromatique pour pocher poissons et crustacés,10,20,6,casserole,SAUCE,f,f,f
9567,Fond brun,Fond aux os de bœuf caramélisés,30,360,8,mijotage,SAUCE,f,f,f
9568,Consommé,"Bouillon clarifié, limpide et concentré",30,120,6,mijotage,SAUCE,f,f,f
9569,Bouillon pho,Bouillon vietnamien aux épices et os de bœuf,20,360,8,mijotage,SAUCE,f,f,f
9570,Fond d'agneau,Fond aux os d'agneau rôtis,30,300,6,mijotage,SAUCE,f,f,f
9571,Pâte brisée,Pâte classique pour tartes salées et sucrées,15,0,6,cru,BASE,f,f,f
9572,Pâte feuilletée,"Pâte levée au beurre, croustillante et aérée",45,0,8,cru,BASE,f,f,f
9573,Pâte à pizza,Pâte levée à l'huile d'olive,20,0,4,cru,BASE,f,f,f
9574,Pâte à crêpes,Pâte fluide pour crêpes fines,10,0,8,cru,BASE,f,f,f
9575,Pâte à choux,"Pâte cuite pour éclairs, choux et gougères",15,10,6,casserole,BASE,f,f,f
9576,Pâte sablée,Pâte friable et sucrée pour tartes,15,0,6,cru,BASE,f,f,f
9577,Pâte à pain,Pâte levée basique pour pain maison,20,0,8,cru,BASE,f,f,f
9578,Pâte à brioche,Pâte levée enrichie au beurre et œufs,30,0,8,cru,BASE,f,f,f
9579,Pâte à nouilles fraîches,Pâtes aux œufs faites maison,30,0,4,cru,BASE,f,f,f
9580,Pâte à gnocchi,Base pommes de terre et farine pour gnocchi,30,20,4,casserole,BASE,f,f,f
9581,Marinade asiatique,"Soja, gingembre, ail et huile de sésame",10,0,4,cru,SAUCE,f,f,f
9582,Marinade BBQ,Sauce sucrée-fumée pour grillades,15,15,6,casserole,SAUCE,f,f,f
9583,Pickles de légumes,Légumes marinés au vinaigre,20,10,8,casserole,SAUCE,f,f,f
9584,Confit d'oignons,Oignons caramélisés longuement au beurre,15,45,6,poêle,SAUCE,f,f,f
9585,Tapenade,"Purée d'olives noires, câpres et anchois",15,0,6,cru,SAUCE,f,f,f
9586,Anchoïade,Purée d'anchois à l'ail et huile d'olive,15,0,6,cru,SAUCE,f,f,f
9587,Rouille,"Sauce provençale à l'ail, safran et piment",20,0,6,cru,SAUCE,f,f,f
9588,Gremolata,"Condiment italien : persil, ail et zeste de citron",10,0,4,cru,SAUCE,f,f,f
9589,Dukkah,Mélange égyptien de noix et épices torréfiées,15,10,8,poêle,SAUCE,f,f,f
9590,Za'atar maison,Mélange d'herbes moyen-oriental au sumac,10,5,8,poêle,SAUCE,f,f,f
9591,Fondant au chocolat,Gâteau au cœur coulant intensément chocolaté,20,12,6,four,DESSERT,f,f,f
9592,Quatre-quarts,Gâteau breton classique aux proportions égales,15,45,8,four,DESSERT,f,f,f
9593,Cheesecake,Gâteau crémeux au fromage frais sur biscuit,30,60,8,four,DESSERT,f,f,f
9594,Carrot cake,Gâteau moelleux aux carottes et glaçage cream cheese,25,45,8,four,DESSERT,f,f,f
9595,Brownie,Gâteau dense au chocolat et noix,15,25,9,four,DESSERT,f,f,f
9596,Tiramisu,Dessert italien au mascarpone et café,30,0,8,cru,DESSERT,f,f,f
9597,Opéra,"Gâteau aux couches de biscuit, café et chocolat",60,15,10,four,DESSERT,f,f,f
9598,Fraisier,Gâteau aux fraises et crème mousseline,45,20,8,four,DESSERT,f,f,f
9599,Forêt noire,"Gâteau chocolat, cerises et chantilly",45,30,10,four,DESSERT,f,f,f
9600,Marbré,Gâteau bicolore vanille et chocolat,20,50,8,four,DESSERT,f,f,f
9601,Tarte au citron meringuée,"Tarte acidulée au citron, meringue dorée",30,35,8,four,DESSERT,f,f,f
9602,Tarte Tatin,Tarte renversée aux pommes caramélisées,25,45,8,four,DESSERT,f,f,f
9603,Tarte aux fraises,"Pâte sablée, crème pâtissière et fraises fraîches",30,20,8,four,DESSERT,f,f,f
9604,Tarte au chocolat,Ganache onctueuse sur pâte sablée,25,25,8,four,DESSERT,f,f,f
9605,Tarte amandine aux poires,Crème d'amande et poires pochées,25,40,8,four,DESSERT,f,f,f
9606,Tarte Bourdaloue,Tarte classique aux poires et crème d'amande,30,45,8,four,DESSERT,f,f,f
9607,Clafoutis aux cerises,Flan aux cerises du Limousin,15,40,6,four,DESSERT,f,f,f
9608,Flan pâtissier,Crème prise à la vanille sur pâte feuilletée,20,45,8,four,DESSERT,f,f,f
9609,Far breton,Flan breton aux pruneaux,15,50,8,four,DESSERT,f,f,f
9610,Tarte alsacienne aux pommes,Pommes sur appareil crémeux à la cannelle,25,45,8,four,DESSERT,f,f,f
9611,Crème brûlée,"Crème vanille, croûte de caramel craquant",20,45,6,four,DESSERT,f,f,f
9612,Panna cotta,Crème italienne gélifiée à la vanille,15,5,6,casserole,DESSERT,f,f,f
9613,Mousse au chocolat,Mousse aérienne au chocolat noir,25,0,6,cru,DESSERT,f,f,f
9614,Île flottante,Meringue pochée sur crème anglaise,25,15,6,casserole,DESSERT,f,f,f
9615,Riz au lait,Riz crémeux cuit dans le lait vanillé,10,45,6,casserole,DESSERT,f,f,f
9616,Crème caramel,Flan renversé au caramel,20,50,6,four,DESSERT,f,f,f
9617,Pots de crème au chocolat,Petits pots onctueux au chocolat,15,25,6,four,DESSERT,f,f,f
9618,Parfait glacé,Dessert glacé crémeux sans sorbetière,25,0,8,cru,DESSERT,f,f,f
9619,Bavarois aux fruits rouges,Mousse gélifiée aux fruits rouges,35,10,8,casserole,DESSERT,f,f,f
9620,Blanc-manger,Dessert gélifié au lait d'amande,20,10,6,casserole,DESSERT,f,f,f
9621,Salade de fruits frais,"Fruits de saison en morceaux, sirop léger",20,0,6,cru,DESSERT,f,f,f
9622,Compote de pommes,Pommes fondues à la cannelle,15,25,6,casserole,DESSERT,f,f,f
9623,Fruits rôtis au miel,Fruits de saison caramélisés au four,15,25,4,four,DESSERT,f,f,f
9624,Poêlée de fruits au beurre,Fruits sautés au beurre et sucre,10,10,4,poêle,DESSERT,f,f,f
9625,Gratin de fruits rouges,Fruits rouges gratinés au sabayon,15,10,4,four,DESSERT,f,f,f
9626,Carpaccio d'ananas,"Ananas en fines tranches, vanille et menthe",15,0,4,cru,DESSERT,f,f,f
9627,Soupe de fraises,Fraises en soupe froide au basilic,15,0,4,cru,DESSERT,f,f,f
9628,Pommes au four,Pommes farcies aux fruits secs et miel,15,35,4,four,DESSERT,f,f,f
9629,Poires pochées au vin rouge,Poires cuites dans un sirop au vin épicé,15,30,4,casserole,DESSERT,f,f,f
9630,Crumble aux pommes,Pommes fondantes sous une pâte sablée émiettée,20,40,6,four,DESSERT,f,f,f
9631,Croissants,Viennoiserie feuilletée au beurre,45,18,8,four,PETIT_DEJEUNER,f,f,f
9632,Pains au chocolat,Viennoiserie feuilletée aux barres de chocolat,45,18,8,four,PETIT_DEJEUNER,f,f,f
9633,Chouquettes,Petits choux au sucre perlé,20,25,30,four,PETIT_DEJEUNER,f,f,f
9634,Brioche moelleuse,Brioche tressée au beurre,30,30,8,four,PETIT_DEJEUNER,f,f,f
9635,Pains aux raisins,Escargots feuilletés à la crème pâtissière,45,20,8,four,PETIT_DEJEUNER,f,f,f
9636,Kouign-amann,Gâteau breton feuilleté au beurre et sucre,40,35,8,four,PETIT_DEJEUNER,f,f,f
9637,Palmiers,Feuilletés caramélisés en forme de cœur,20,15,12,four,PETIT_DEJEUNER,f,f,f
9638,Chaussons aux pommes,Feuilletés fourrés à la compote de pommes,30,25,8,four,PETIT_DEJEUNER,f,f,f
9639,Oranais,Viennoiserie à la crème pâtissière et abricot,40,20,8,four,PETIT_DEJEUNER,f,f,f
9640,Pains au lait,Petits pains moelleux au lait,25,15,10,four,PETIT_DEJEUNER,f,f,f
9641,Œufs brouillés crémeux,Œufs brouillés cuits lentement au beurre,5,10,4,poêle,PETIT_DEJEUNER,f,f,f
9642,Pancakes salés,Pancakes aux herbes et fromage,15,15,4,poêle,PETIT_DEJEUNER,f,f,f
9643,Omelette aux fines herbes,Omelette baveuse aux herbes fraîches,5,5,2,poêle,PETIT_DEJEUNER,f,f,f
9644,Avocado toast,Toast à l'avocat écrasé et œuf poché,10,5,2,poêle,PETIT_DEJEUNER,f,f,f
