id,import_id,name,timing,ingredients,macros_per_100g,rendement,portions,reheat,instructions,cook_date,portions_total,conservation,keeps_days,freezable
81,14,Daube provençale,20min / 50min,"600g bœuf à braiser, carottes, oignons, ail, vin rouge, tomates, herbes de Provence, olives noires",188 kcal | 24P | 8G | 7L | 2F,900g,Julien: 350g — Zoé: 280g,,Servi tel quel avec PDT,,,,,
82,15,Poulet basquaise,20min / 55min,"600g poulet, 400g poivrons, 500g passata, 2 oignons, 800g PDT, huile olive",95 kcal | 14P | 8G | 2.5L | 1.2F,1900g,Julien: 350g — Zoé: 280g,,En gratin avec gruyère,,,,,
83,15,Bœuf stroganoff,15min / 45min,"500g émincé bœuf, 400g champignons, crème fraîche, oignons, semoule/riz",108 kcal | 15P | 7G | 3.2L | 1F,1700g,Julien: 340g — Zoé: 270g,,Avec riz au lieu de semoule,,,,,
84,15,Émincé porc au curry,20min / 50min,"500g émincé porc, lait coco, légumes variés, curry, riz",97 kcal | 14P | 9G | 2.5L | 1.2F,1850g,Julien: 350g — Zoé: 280g,,Même présentation,,,,,
85,16,Tajine agneau aux légumes,20min / 60min,"305g agneau, 300g courgettes, 200g PDT, oignons, olives, épices, bouillon",95 kcal | 15P | 8G | 3L | 2F,980g,Julien: 350g — Zoé: 280g,,Avec riz basmati au lieu des PDT,,,,,
86,16,Mijoté bœuf provençal,15min / 50min,"315g bœuf, 250g aubergines, 200g tomates, 180g PDT, herbes de Provence, huile",96 kcal | 16P | 6G | 4L | 3F,945g,Julien: 350g — Zoé: 280g,,En gratin avec fromage râpé,,,,,
87,16,Chili con carne,10min / 45min,"270g bœuf haché, 400g haricots rouges, 300g tomates concassées, 180g riz, oignons, épices",95 kcal | 15P | 9G | 3L | 4F,1050g,Julien: 350g — Zoé: 280g,,En gratin avec fromage cheddar,,,,,
88,17,Tajine d'agneau aux légumes de printemps et riz basmati,30min / 95min,"600g épaule d'agneau, 300g carottes nouvelles, 6 artichauts, 200g riz basmati, huile d'olive, oignon, épices",125 kcal | 19P | 10G | 3L | 2F,1200g,Julien: 280g — Zoé: 220g,,Couscous d'agneau (l'agneau mijoté est servi avec de la semoule et bouillon parfumé),,,,,
89,17,Curry d'agneau aux légumes de printemps,20min / 60min,"600g épaule d'agneau, 400g carottes nouvelles, 6 artichauts, 400ml lait coco, pâte curry rouge, riz",154 kcal | 17P | 8G | 7L | 2F,1000g,Julien: 280g — Zoé: 220g,,Naan garni au curry (le curry est servi dans des pains naan faits maison),,,,,
90,17,Bœuf aux légumes de printemps,25min / 70min,"600g bœuf à braiser, 300g carottes nouvelles, 200g petit pois, oignons, bouillon, herbes",140 kcal | 19P | 8G | 4L | 2F,1080g,Julien: 300g — Zoé: 240g,,Parmentier de bœuf aux légumes (le bœuf mijoté recouvert de purée gratinée au four),,,,,
91,18,Tajine d'agneau aux légumes de printemps,30min / 95min,"500g épaule agneau, 200g carottes nouvelles, 150g artichauts, 100g petits pois, oignon, épices tajine, bouillon",145 kcal | 18P | 8G | 5L | 3F,800g,Julien: 220g — Zoé: 180g,,"Utilisé directement, pas de transformation",,,,,
92,18,Poulet basquaise,20min / 55min,"500g poulet, 200g poivrons, 300g passata, oignon, huile, riz",108 kcal | 14P | 9G | 3L | 2F,800g,Julien: 320g — Zoé: 260g,,Wraps poulet-poivrons (le poulet est effiloché et garni dans des wraps avec crudités et frites),,,,,
93,18,Chili con carne,15min / 45min,"500g bœuf haché, 400g haricots rouges, 300g passata, oignon, épices, riz",165 kcal | 13P | 15G | 6L | 4F,950g,Julien: 350g — Zoé: 280g,,"Utilisé directement, pas de transformation",,,,,
94,19,Tajine d'agneau aux artichauts et carottes nouvelles,20min / 95min,"600g épaule agneau, 400g artichauts, 300g carottes nouvelles, 1 oignon, épices tajine, bouillon, huile d'olive",154 kcal | 18P | 8G | 6L | 2F,900g,Julien: 240g — Zoé: 200g,,Couscous d'agneau (le tajine est servi sur semoule gonflée au bouillon avec légumes),,,,,
95,19,Bœuf stroganoff,15min / 45min,"500g bœuf à braiser, 200g champignons, 150ml crème, oignons, moutarde, beurre",156 kcal | 16P | 4G | 8L | 1F,750g,Julien: 280g — Zoé: 220g,,Parmentier de bœuf stroganoff (le stroganoff est recouvert de purée et gratiné),,,,,
96,20,Tajine d'agneau aux artichauts et carottes nouvelles,30min / 120min,"600g épaule agneau, 500g artichauts, 400g carottes nouvelles, 2 oignons, épices tajine, bouillon",95 kcal | 12P | 4G | 4L | 2F,1200g,Julien: 410g — Zoé: 320g,,Couscous d'agneau aux légumes (l'agneau mijoté est servi avec semoule gonflée au bouillon parfumé),,,,,
97,20,Daube provençale,25min / 120min,"650g bœuf à braiser, 300g carottes, 400g pommes de terre, herbes de Provence, vin rouge, bouillon",98 kcal | 14P | 5G | 3L | 1F,1000g,Julien: 530g — Zoé: 410g,,Parmentier de bœuf provençal (le bœuf mijoté est recouvert de purée maison et gratiné),,,,,
98,21,Tajine d'agneau aux artichauts et carottes nouvelles,50min / 120min,"600g épaule d'agneau, 300g artichauts, 250g carottes nouvelles, oignons, épices, bouillon",95 kcal | 12P | 4G | 3L | 2F,1200g,Julien: 400g — Zoé: 310g,,Couscous d'agneau (l'agneau mijoté est servi avec semoule et bouillon harissa),,,,,
99,21,Bœuf aux légumes de printemps,40min / 70min,"600g paleron bœuf, 300g carottes nouvelles, 200g navets, petits pois, bouillon, herbes",88 kcal | 11P | 5G | 3L | 2F,1400g,Julien: 480g — Zoé: 370g,,Parmentier de bœuf provençal (le bœuf mijoté est gratiné sous purée de PDT au fromage),,,,,
100,22,Tajine d'agneau aux artichauts et carottes nouvelles,30min / 120min,"600g épaule agneau, 400g artichauts, 300g carottes nouvelles, 2 oignons, épices tajine, bouillon",95 kcal | 12P | 4G | 3L | 2F,1200g,Julien: 180g — Zoé: 140g,,Naan garni au curry d'agneau (l'agneau du tajine est transformé en curry et servi dans des naans),,,,,
101,22,Curry d'agneau aux légumes de printemps,20min / 60min,"550g épaule agneau, 200g petits pois, 250g carottes nouvelles, 2 oignons, épices curry, lait de coco",88 kcal | 11P | 5G | 3L | 2F,1100g,Julien: 170g — Zoé: 130g,,Naan garni au curry d'agneau (curry servi dans naans avec salade et yaourt),,,,,
102,22,Parmentier de bœuf provençal,45min / 115min,"550g bœuf à braiser, tomates, courgettes, aubergines, herbes de Provence, pommes de terre",92 kcal | 8P | 7G | 3L | 1F,1200g,Julien: 400g — Zoé: 320g,,Plat unique - pas de transformation,,,,,
103,22,Parmentier de bœuf stroganoff,35min / 65min,"550g bœuf, champignons, oignons, moutarde, crème fraîche, pommes de terre",88 kcal | 7P | 6G | 4L | 1F,1150g,Julien: 400g — Zoé: 320g,,Plat unique - pas de transformation,,,,,
104,23,Blanquette de dinde,30min / 70min,"600g escalopes dinde, 300g carottes, 200g champignons, 1 oignon, crème fraîche, bouillon volaille, vin blanc, farine, beurre",108 kcal | 15P | 4G | 4L | 1F,1200g,Julien: 350g — Zoé: 280g,,Vol-au-vent de blanquette (la blanquette est servie dans des petites tourtes feuilletées),,,,,
105,23,Curry d'agneau aux légumes de printemps,20min / 60min,"600g épaule agneau, 300g carottes nouvelles, 200g petits pois, 400ml lait coco, pâte curry, oignons, ail, gingembre",140 kcal | 16P | 8G | 5L | 2F,1100g,Julien: 350g — Zoé: 280g,,Naan garni au curry d'agneau (le curry est servi dans des naans avec yaourt nature),,,,,
106,23,Tajine d'agneau aux artichauts et carottes nouvelles,30min / 120min,"600g épaule agneau, 400g artichauts, 300g carottes nouvelles, olives, citron confit, épices (cumin, coriandre, cannelle)",125 kcal | 14P | 6G | 5L | 3F,1100g,Julien: 380g — Zoé: 300g,,Plat unique du dimanche,,,,,
107,24,Couscous d'agneau aux légumes,30min / 115min,"600g agneau épaule, 400g semoule, 300g carottes nouvelles, 200g pois chiches, oignon, bouillon",95 kcal | 8P | 12G | 2L | 3F,1400g,Julien: 350g — Zoé: 280g,,,,,,,
108,24,Curry de pois chiches,15min / 40min,"400g pois chiches, 400ml lait coco, oignon, ail, curry, épinards, tomates",85 kcal | 4P | 8G | 4L | 5F,800g,Julien: 150g — Zoé: 120g,,,,,,,
109,24,Émincé de porc au curry,20min / 50min,"500g émincé porc, lait coco, curry, oignon, carottes nouvelles",120 kcal | 12P | 3G | 6L | 1F,650g,Julien: 150g — Zoé: 120g,,,,,,,
110,24,Poulet basquaise,20min / 55min,"500g poulet, 200g poivrons, 300g passata, oignon, huile",86 kcal | 11P | 3G | 3L | 1F,800g,Julien: 150g — Zoé: 120g,,,,,,,
111,25,Bœuf stroganoff,20min / 45min,"400g émincé de bœuf, 300g champignons de Paris, 200ml crème fraîche, 1 CS moutarde, oignon, huile",155 kcal | 18P | 2G | 8L | 1F,800g,Julien: 150g + 200g riz — Zoé: 120g + 160g riz,,Même plat réchauffé,,,,,
112,25,Dhal de lentilles corail,15min / 40min,"200g lentilles corail, 200ml lait coco, 200g épinards surgelés, oignon, ail, épices curry",98 kcal | 8P | 12G | 2L | 4F,600g,Julien: 150g + 200g riz — Zoé: 120g + 160g riz,,Curry de lentilles aux légumes verts,,,,,
133,29,Bourguignon de joues,,600g Joues de bœuf · 80g Lardons fumés · 250g Champignons de Paris · 150g Oignons grelots · 300g Carottes · 500g Pommes de terre Charlotte · 400ml Vin rouge (pinot noir) · 300ml Bouillon de bœuf · 40g Beurre doux · 15g Farine · 2 branches Thym · 1 feuille Laurier · 2 gousses Ail · 4 branches Persil plat,,2 portions,Julien: 1 · Zoé: 1,"Casserole à feu doux 6–8 min en remuant (un filet d'eau si besoin), ou micro-ondes 3 min à couvert.","1. Faire revenir les lardons à sec dans une cocotte en fonte, réserver. Saisir les cubes de joues sur toutes les faces dans la graisse rendue jusqu'à coloration intense.
2. Ajouter les oignons grelots et l'ail, singer avec la farine, mélanger 2 minutes. Déglacer au vin rouge, gratter les sucs, laisser réduire 5 minutes.
3. Verser le bouillon, ajouter thym et laurier. Couvrir et enfourner à 150°C pendant 2h30. Ajouter les carottes et champignons 30 min avant la fin.
4. Cuire les pommes de terre à l'eau salée 25 min, écraser à la fourchette avec le beurre, sel & poivre.
5. Vérifier l'assaisonnement de la sauce, parsemer de persil et servir avec la purée.",2026-06-07,2,Encore meilleur réchauffé · se garde 5 j au frigo,5,t
134,29,Dahl corail-coco,,180g Lentilles corail · 200ml Lait de coco · 1 pièce Oignon jaune · 3 gousses Ail · 20g Gingembre frais · 200g Tomates concassées · 2 c. à café Curcuma en poudre · 1 c. à café Cumin en poudre · 3 gousses Cardamome verte · 180g Riz basmati · 1 pièce Oignon rouge · 1 pièce Citron vert · 1 bouquet Coriandre fraîche · 20ml Huile de coco,,2 portions,Julien: 1 · Zoé: 1,"Casserole à feu doux 6–8 min en remuant (un filet d'eau si besoin), ou micro-ondes 3 min à couvert.","1. Faire suer l'oignon dans l'huile de coco 5 min, ajouter ail, gingembre et épices, torréfier 1 min.
2. Ajouter tomates et lentilles rincées, couvrir d'eau (400 ml). Mijoter 20 min à couvert, mélanger régulièrement.
3. Verser le lait de coco, mijoter 5 min, saler, vérifier la consistance crémeuse.
4. Cuire le riz basmati à l'absorption (180g pour 270 ml d'eau, 12 min couvert + 5 min hors feu).
5. Mariner l'oignon rouge dans le jus de citron vert avec une pincée de sel. Dresser avec coriandre.",2026-06-07,2,Encore meilleur réchauffé · se garde 5 j au frigo,5,t
135,29,Poulet basquaise,,450g Cuisses de poulet désossées · 60g Jambon de Bayonne · 2 pièces Poivron rouge · 1 pièce Poivron vert · 400g Tomates anciennes · 1 gros Oignon jaune · 3 gousses Ail · 1 c. à café Piment d'Espelette · 100ml Vin blanc sec · 150ml Bouillon de volaille · 160g Riz basmati · 1 pincée Safran · 30ml Huile d'olive · 6 feuilles Basilic,,2 portions,Julien: 1 · Zoé: 1,"Micro-ondes 2–3 min à couvert (un filet d'eau sur le féculent), ou poêle à feu moyen 4–5 min.","1. Colorer les cuisses de poulet côté peau dans l'huile d'olive 6 min, réserver. Faire revenir oignon et jambon 5 min.
2. Ajouter poivrons et ail, cuire 8 min à feu moyen. Déglacer au vin blanc, réduire de moitié.
3. Ajouter tomates, piment d'Espelette, bouillon et remettre le poulet. Mijoter 30 min à couvert puis 5 min à découvert pour réduire.
4. Cuire le riz à l'absorption avec le safran infusé dans 240 ml d'eau bouillante salée, 12 min couvert.
5. Effilocher légèrement le poulet, parsemer de basilic et servir avec le riz.",2026-06-07,2,Se garde 4 j au frigo,4,t
136,29,Buddha bowl quinoa,,150g Quinoa · 200g Carottes · 250g Betteraves crues · 250g Brocolis · 300g Pois chiches cuits · 2 c. à café Cumin en poudre · 1 c. à café Paprika fumé · 40g Tahini · 100g Yaourt grec · 1 pièce Citron jaune · 1 gousse Ail · 30g Graines de courge · 40ml Huile d'olive · 4 branches Coriandre fraîche · 100g Houmous,,2 portions,Julien: 1 · Zoé: 1,"Micro-ondes 2–3 min à couvert (un filet d'eau sur le féculent), ou poêle à feu moyen 4–5 min.","1. Préchauffer le four à 200°C. Mélanger légumes, pois chiches séchés, huile, cumin & paprika fumé. Étaler sur plaque & rôtir 25-30 min.
2. Cuire le quinoa à l'absorption (150g pour 300 ml d'eau salée, 13 min couvert + 5 min hors feu).
3. Préparer la sauce : tahini, yaourt, jus de citron, ail, eau tiède pour la consistance, sel.
4. Toaster les graines de courge à sec 2 min.
5. Dresser en sections dans le bowl : quinoa, légumes rôtis, pois chiches croustillants, houmous, sauce tahini, graines & coriandre.",2026-06-10,2,Se garde 4 j au frigo,4,t
137,29,Couscous 7 légumes,,200g Semoule moyenne · 240g Pois chiches cuits · 1 pièce Courgette · 2 pièces Carotte · 2 pièces Navet nouveau · 1 pièce Oignon jaune · 300g Tomates concassées · 150g Chou vert · 1 bulbe Fenouil · 3 gousses Ail · 2 c. à café Ras-el-hanout · 1 c. à café Cumin en poudre · 1 c. à café Curcuma · 1 c. à soupe Harissa douce · 600ml Bouillon de légumes · 40ml Huile d'olive · 30g Beurre doux · 1 bouquet Coriandre fraîche,,2 portions,Julien: 1 · Zoé: 1,"Micro-ondes 2–3 min à couvert (un filet d'eau sur le féculent), ou poêle à feu moyen 4–5 min.","1. Faire suer l'oignon et l'ail dans l'huile 5 min, ajouter épices, torréfier 1 min.
2. Ajouter tomates, carottes, navets, fenouil & bouillon. Mijoter 20 min à couvert.
3. Ajouter courgette, chou et pois chiches. Cuire encore 15 min jusqu'à tendreté.
4. Verser un volume d'eau bouillante salée sur la semoule, couvrir 5 min, égrener au beurre à la fourchette.
5. Délayer la harissa avec un peu de bouillon, servir à part. Dresser couscous, légumes et coriandre.",2026-06-10,2,Se garde 4 j au frigo,4,t
